Date,Open,High,Low,Close,Adj Close,Volume,24h Open (USD),24h High (USD),24h Low (USD),Gas Fee (Wei),Circulating Marketcap,Volatility,Hash Rate,Average Difficulty,Total Fees,Average Transaction Fees
2018-06-01,578.671997,589.093018,567.664978,580.04303,580.04303,1945890048,577.045247,588.216007,563.482062,22281817392,56914905906,0.985475765,205.1688548,3.15E+15,447621.6137,0.481378782
2018-06-02,580.429016,597.077026,577.322021,591.807983,591.807983,1880390016,578.847592,599.250532,574.254334,16102612105,57112296998,0.984432703,208.1946029,3.19E+15,363826.8536,0.427979731
2018-06-03,591.258972,624.513,591.258972,618.328979,618.328979,1832550016,590.745063,627.437291,590.570489,15436188157,58293245003,0.883908529,208.2788322,3.20E+15,461951.7299,0.523784489
2018-06-04,619.437012,623.429016,583.747009,592.984985,592.984985,1903430016,618.787366,625.514619,579.498274,19065322604,61103286651,0.891911051,207.3699651,3.16E+15,433309.5671,0.456466573
2018-06-05,593.406006,611.330017,580.981995,609.302979,609.302979,1844269952,591.582393,613.017819,576.283632,17186633256,58350785085,0.884501799,209.2250101,3.23E+15,495020.606,0.545618541
2018-06-06,610.262024,611.643005,596.395996,607.124023,607.124023,1756530048,607.658525,611.488917,593.284543,19741822241,60043628658,0.88057661,206.2349984,3.16E+15,482478.6865,0.538350295
2018-06-07,607.687012,616.143982,601.692993,605.187012,605.187012,1880140032,605.995807,615.579763,598.409466,16981460044,59884548820,0.868674337,206.4051051,3.16E+15,430099.6238,0.469041821
2018-06-08,605.442993,608.810974,595.593018,601.077026,601.077026,1637779968,603.492812,607.306115,592.772811,15945608934,59699790137,0.868678117,210.1627865,3.20E+15,426052.9715,0.486580134
2018-06-09,600.905029,608.583008,597.562012,597.562012,597.562012,1519309952,598.771072,607.976174,591.890827,12618229591,59213342199,0.8680528,214.4845036,3.30E+15,326858.6305,0.395830035
2018-06-10,594.344971,594.344971,511.889008,526.479004,526.479004,2234880000,593.347269,593.347269,504.571312,12552615017,58603167611,0.937299925,212.314649,3.25E+15,254544.2877,0.293110272
